hhid,adoption,household_size,gender,age,land_holding,crop_land_size,credit,extension,training,married,widow,single,primary,secondary,post_secondary,no_formal_education,main_livelihood_source,off_farm,purchase_decision_woman,purchase_decision_joint,county_kisumu,county_migori,county_siaya,county_vihiga
1,1,6,0,49,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
2,1,7,0,40,2,2,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
3,1,8,0,53,3,6,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
4,1,7,0,40,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
5,1,9,0,42,1.5,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
6,1,11,0,44,3,2,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
7,1,3,0,44,1,.75,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
8,1,6,0,46,.5,.25,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
9,1,8,0,51,2,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
10,1,4,0,38,.75,.5,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
11,1,8,0,41,3,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
12,1,9,0,46,3,2.5,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
13,1,7,0,47,5,3,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
14,1,6,0,49,.25,.25,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
15,1,6,0,52,2,2,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
16,1,10,0,58,2,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
17,1,10,0,39,1.8,1.3,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0
18,1,8,0,56,3,2,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0
19,1,6,0,36,2,1.5,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
20,1,12,0,38,2,2,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
21,1,8,0,45,2.5,2,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0
22,1,4,0,45,3,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0
23,1,7,0,65,5,2.75,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
24,1,7,0,66,4,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0
25,1,4,0,46,2.5,2,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
26,1,3,0,49,5,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
27,1,5,0,49,.5,.25,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
28,1,6,0,56,3.5,2.5,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
29,1,7,0,36,2,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
30,1,6,0,37,1,.5,0,1,1,1,0,0,1,0,0,0,2,1,0,1,0,1,0,0
31,1,8,0,48,4,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
32,1,7,0,53,3,2,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
33,1,10,0,56,6,5,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
34,1,7,0,56,5,5,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
35,1,6,0,60,6,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
36,1,6,0,64,1.5,1.2,1,1,1,0,1,0,1,0,0,0,3,1,1,0,0,1,0,0
37,1,8,0,52,2,1.5,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
38,1,3,0,59,2,1.5,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
39,1,10,0,42,2,1.5,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
40,1,5,0,43,4,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
41,1,3,0,43,1,.5,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
42,1,11,0,50,1,.75,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0
43,1,6,0,52,1,.25,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
44,1,2,0,54,2,1.5,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0
45,1,4,0,56,2.5,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
46,1,6,0,56,2,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
47,1,4,0,57,2,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
48,1,7,0,58,6,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
49,1,5,0,59,4,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
50,1,9,0,63,2,.5,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
51,1,8,0,67,3.5,2,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0
52,1,6,0,40,1.25,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
53,1,2,0,56,1,.75,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
54,1,11,0,40,.5,.75,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1
55,1,10,0,47,.75,.25,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
56,1,8,0,47,2,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
57,1,7,0,49,.5,.25,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
58,1,5,0,53,1,.5,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
59,1,5,0,59,1,.5,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
60,1,6,0,62,3,2,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
61,1,9,0,64,1,.75,0,1,1,0,1,0,1,0,0,0,2,1,1,0,0,0,0,1
62,0,4,0,38,2,.75,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
63,0,6,0,40,2,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
64,0,3,0,42,1.5,1.5,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
65,0,4,0,42,1.5,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
66,0,6,0,54,2,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
67,0,4,0,55,4,3.5,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
68,0,6,0,40,1.5,1.5,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
69,0,3,0,42,1,.5,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
70,0,6,0,42,3,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0
71,0,4,0,43,.5,.5,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0
72,0,4,0,45,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
73,0,14,0,46,1.5,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
74,0,7,0,47,2,.75,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
75,0,4,0,48,3,3,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0
76,0,5,0,51,1.5,1.5,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
77,0,8,0,56,4,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
78,0,8,0,37,2,1.5,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
79,0,6,0,49,2,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0
80,0,7,0,58,3,2.5,0,0,0,1,0,0,1,0,0,0,3,1,1,0,0,1,0,0
81,0,5,0,61,4,.75,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0
82,0,5,0,62,1.5,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
83,0,5,0,65,8,5,0,1,1,0,1,0,0,1,0,0,3,1,0,1,0,1,0,0
84,0,7,0,37,1,.75,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0
85,0,6,0,43,2,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0
86,0,6,0,49,3,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0
87,0,7,0,49,3,2,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
